Provider_Business_Practice_Location_Address_State_Name,CLASSIFICATION,Provider_Gender_Code,COUNT_
MO,No Specialty Listed,F,27105
D.F.,No Specialty Listed,F,1
WV,No Specialty Listed,F,8092
PR,No Specialty Listed,F,7101
NEW SOUTH WALES,No Specialty Listed,F,1
MA,No Specialty Listed,F,61085
HESSEN,No Specialty Listed,F,3
SHELBY COUNTY,No Specialty Listed,F,1
WASHINGTON,No Specialty Listed,F,1
MB,No Specialty Listed,F,1
LA SPEZIA,No Specialty Listed,F,1
MT,No Specialty Listed,F,5811
ILE DE FRANCE,No Specialty Listed,F,1
FLORIDA (FL),No Specialty Listed,F,1
TN,No Specialty Listed,F,32780
ILLINOIX,No Specialty Listed,F,1
"APO, AP",No Specialty Listed,F,1
ND,No Specialty Listed,F,5121
APO AE,No Specialty Listed,F,1
SOUTHERN PROVINCE,No Specialty Listed,F,1
ARIZONA,No Specialty Listed,F,2
ATTICA,No Specialty Listed,F,1
DEUTCHLAND,No Specialty Listed,F,1
GIVAT HAMIVTAR,No Specialty Listed,F,1
VI,No Specialty Listed,F,158
AP,No Specialty Listed,F,421
WISCONSIN,No Specialty Listed,F,4
N/A,No Specialty Listed,F,3
GYEONGGI-DO,No Specialty Listed,F,1
CALIFORNIA,No Specialty Listed,F,11
MAHARASHTRA,No Specialty Listed,F,1
SANTA CLARA COUNTY,No Specialty Listed,F,1
UNITED STATES OF AMERICA,No Specialty Listed,F,1
ARKANSAS,No Specialty Listed,F,2
ARIMA,No Specialty Listed,F,1
AUCKLAND,No Specialty Listed,F,2
LOUISIANA,No Specialty Listed,F,3
AZ,No Specialty Listed,F,28374
US,No Specialty Listed,F,2
WYOMING,No Specialty Listed,F,1
FI,No Specialty Listed,F,1
KANAGAWA,No Specialty Listed,F,1
TOKYO,No Specialty Listed,F,3
ILLINOIS,No Specialty Listed,F,2
QUEBEC,No Specialty Listed,F,6
MANITOBA,No Specialty Listed,F,3
UNITED STATES,No Specialty Listed,F,2
ISRAEL,No Specialty Listed,F,3
CMR 402,No Specialty Listed,F,1
HI,No Specialty Listed,F,6970
QUINTANA ROO,No Specialty Listed,F,1
CAMPANIA,No Specialty Listed,F,2
SG,No Specialty Listed,F,1
OK,No Specialty Listed,F,26173
NJ - NEW JERSEY,No Specialty Listed,F,1
TX,No Specialty Listed,F,85370
NORTH YORKSHIRE,No Specialty Listed,F,1
NJ,No Specialty Listed,F,37849
DUBLIN,No Specialty Listed,F,2
TERRITORY,No Specialty Listed,F,3
EUROPE,No Specialty Listed,F,1
DELHI,No Specialty Listed,F,1
ME,No Specialty Listed,F,10230
ST CROIX,No Specialty Listed,F,1
KINSHASA,No Specialty Listed,F,1
FLORIDA,No Specialty Listed,F,12
FM,No Specialty Listed,F,2
B.C.,No Specialty Listed,F,2
LOWER NIUMI,No Specialty Listed,F,1
BEIJING,No Specialty Listed,F,1
RLP,No Specialty Listed,F,1
PA,No Specialty Listed,F,65031
TAS,No Specialty Listed,F,1
GU,No Specialty Listed,F,137
LAGOS,No Specialty Listed,F,2
VIRGINIA,No Specialty Listed,F,1
KERALA,No Specialty Listed,F,1
NONE,No Specialty Listed,F,1
AS,No Specialty Listed,F,10
MARION,No Specialty Listed,F,1
COLORADO,No Specialty Listed,F,2
AL,No Specialty Listed,F,14528
POTENZA,No Specialty Listed,F,1
USA,No Specialty Listed,F,8
MI,No Specialty Listed,F,61636
UAE,No Specialty Listed,F,2
ALBERTA,No Specialty Listed,F,4
KANE COUNTY,No Specialty Listed,F,1
TAK,No Specialty Listed,F,1
AMERICAN SAMOA,No Specialty Listed,F,2
TEXAS,No Specialty Listed,F,5
P.R.,No Specialty Listed,F,2
GTO.,No Specialty Listed,F,1
OH,No Specialty Listed,F,79939
EU,No Specialty Listed,F,1
VA - VIRGINIA,No Specialty Listed,F,1
RHEINLAND PFALZ,No Specialty Listed,F,2
QC,No Specialty Listed,F,1
NL,No Specialty Listed,F,1
NEW HANOVER COUNTY,No Specialty Listed,F,1
0,No Specialty Listed,F,1
MARYLAND,No Specialty Listed,F,2
SK,No Specialty Listed,F,1
NOVA SCOTIA,No Specialty Listed,F,2
IRELAND,No Specialty Listed,F,1
UNITED KINGDOM,No Specialty Listed,F,2
SINGAPORE,No Specialty Listed,F,1
BASEMENT,No Specialty Listed,F,1
FRANCE,No Specialty Listed,F,1
LEINSTER,No Specialty Listed,F,1
TX - TEXAS,No Specialty Listed,F,2
MS,No Specialty Listed,F,10674
PAGET,No Specialty Listed,F,1
GOROD KIEV,No Specialty Listed,F,1
MASS,No Specialty Listed,F,1
ARECIBO,No Specialty Listed,F,1
CO,No Specialty Listed,F,38624
NEVADA,No Specialty Listed,F,1
PUERTO RRICO,No Specialty Listed,F,1
OAKLAND,No Specialty Listed,F,1
CA,No Specialty Listed,F,202063
EASTERN PROVINCE,No Specialty Listed,F,1
OHIO,No Specialty Listed,F,4
APO  AE,No Specialty Listed,F,1
KS,No Specialty Listed,F,14251
MP,No Specialty Listed,F,36
AMERICA,No Specialty Listed,F,1
"VADHANA, BANGKOK",No Specialty Listed,F,1
FL,No Specialty Listed,F,108861
BC,No Specialty Listed,F,8
SOUTH KOREA,No Specialty Listed,F,2
HAMBURG,No Specialty Listed,F,1
ON,No Specialty Listed,F,7
INCIRLIK,No Specialty Listed,F,1
GREATER LONDON,No Specialty Listed,F,2
SEOUL,No Specialty Listed,F,5
HAWAII,No Specialty Listed,F,2
PENNSYLVANIA,No Specialty Listed,F,1
UT,No Specialty Listed,F,14871
ARKANSAS (AR),No Specialty Listed,F,1
AK- ALASKA,No Specialty Listed,F,1
OKINAWA,No Specialty Listed,F,4
PORT DE PAIX,No Specialty Listed,F,1
QUEENSLAND,No Specialty Listed,F,2
JALISCO,No Specialty Listed,F,2
GERMANY,No Specialty Listed,F,11
70174,No Specialty Listed,F,1
NEW BRUNSWICK,No Specialty Listed,F,1
NA,No Specialty Listed,F,1
AZ- ARIZONA,No Specialty Listed,F,1
WESTERN AUSTRALIA,No Specialty Listed,F,1
FOREIGN,No Specialty Listed,F,1
YAMAGUCHI,No Specialty Listed,F,1
WOLUWE SAINT PIERRE,No Specialty Listed,F,1
BAVARIA,No Specialty Listed,F,11
RIYADH,No Specialty Listed,F,1
BANGKOK,No Specialty Listed,F,1
DI AVERSA CE,No Specialty Listed,F,1
IDAHO,No Specialty Listed,F,1
PLATA,No Specialty Listed,F,1
BUCKS,No Specialty Listed,F,1
SARAJEVO,No Specialty Listed,F,1
VA,No Specialty Listed,F,33875
SC,No Specialty Listed,F,21777
JORDAN,No Specialty Listed,F,1
WA,No Specialty Listed,F,51748
HEREDIA,No Specialty Listed,F,1
PARANA,No Specialty Listed,F,1
HEIDELBERG,No Specialty Listed,F,1
NEW YORK,No Specialty Listed,F,13
MICHIGAN,No Specialty Listed,F,3
MI - MICHIGAN,No Specialty Listed,F,1
AKITA-KEN,No Specialty Listed,F,1
PUERTO RICO,No Specialty Listed,F,133
AK,No Specialty Listed,F,7513
NSW,No Specialty Listed,F,1
MISSOURI,No Specialty Listed,F,2
RHEINLAND-PFALZ,No Specialty Listed,F,3
AE,No Specialty Listed,F,705
IN,No Specialty Listed,F,25355
KOTAYK,No Specialty Listed,F,1
KYOUNGKIDO,No Specialty Listed,F,1
JAPAN,No Specialty Listed,F,1
ALASKA,No Specialty Listed,F,1
THE NEGEV,No Specialty Listed,F,1
NC,No Specialty Listed,F,50183
NV,No Specialty Listed,F,21568
NE,No Specialty Listed,F,11069
CE,No Specialty Listed,F,1
AB,No Specialty Listed,F,1
RHINELAND PALATINATE,No Specialty Listed,F,1
ONTARIO,No Specialty Listed,F,33
VIRGIN ISLANDS,No Specialty Listed,F,1
OKINAWA-KEN,No Specialty Listed,F,1
MD-MARYLAND,No Specialty Listed,F,1
RHINELAND PFALZ,No Specialty Listed,F,1
WI,No Specialty Listed,F,31447
BAYERN,No Specialty Listed,F,2
WINNIPEG,No Specialty Listed,F,1
MONTANA,No Specialty Listed,F,1
